Date,Open,High,Low,Close,Volume,AdjustedClose
20201009,785.000,790.000,770.000,785.000,13429900,785.000
20201012,800.000,835.000,785.000,795.000,19369600,795.000
20201013,795.000,800.000,780.000,790.000,8421600,790.000
20201014,785.000,790.000,775.000,775.000,18351300,775.000
20201015,785.000,785.000,760.000,760.000,19916000,760.000
20201016,760.000,775.000,760.000,765.000,13640900,765.000
20201019,770.000,785.000,765.000,785.000,13553900,785.000
20201020,790.000,810.000,780.000,790.000,29867100,790.000
20201021,795.000,800.000,780.000,785.000,15395000,785.000
20201022,795.000,810.000,790.000,795.000,71887600,795.000
20201023,810.000,810.000,785.000,790.000,15195800,790.000
20201026,790.000,860.000,790.000,825.000,61716200,825.000
20201027,830.000,835.000,800.000,800.000,38474800,800.000
20201102,805.000,810.000,795.000,800.000,21273200,800.000
20201103,800.000,810.000,790.000,810.000,12821500,810.000
20201104,815.000,825.000,810.000,815.000,18593000,815.000
20201105,815.000,825.000,815.000,815.000,7496100,815.000
20201106,815.000,845.000,810.000,830.000,28087500,830.000
20201109,840.000,845.000,830.000,840.000,21029100,840.000
20201110,840.000,855.000,840.000,845.000,23042600,845.000
20201111,845.000,850.000,825.000,830.000,22212500,830.000
20201112,830.000,840.000,810.000,815.000,16233400,815.000
20201113,820.000,830.000,815.000,820.000,8189900,820.000
20201116,820.000,825.000,810.000,820.000,21664300,820.000
20201117,840.000,840.000,815.000,815.000,22910500,815.000
20201118,815.000,825.000,810.000,810.000,24283900,810.000
20201119,820.000,820.000,800.000,800.000,35750200,800.000
20201120,800.000,810.000,795.000,800.000,23668100,800.000
20201123,810.000,820.000,800.000,820.000,24371600,820.000
20201124,825.000,830.000,810.000,810.000,30709800,810.000
20201125,820.000,820.000,800.000,800.000,29284100,800.000
20201126,805.000,820.000,790.000,795.000,42403700,795.000
20201127,795.000,805.000,785.000,785.000,44492300,785.000
20201130,785.000,795.000,760.000,760.000,55922500,760.000
20201201,760.000,800.000,760.000,800.000,41161300,800.000
20201202,810.000,810.000,795.000,800.000,17400400,800.000
20201203,800.000,805.000,790.000,790.000,13161500,790.000
20201204,795.000,800.000,780.000,785.000,11379100,785.000
20201207,785.000,800.000,785.000,795.000,21388600,795.000
20201208,795.000,800.000,790.000,800.000,19610600,800.000
20201210,800.000,805.000,790.000,790.000,17539500,790.000
20201211,790.000,800.000,785.000,785.000,8729500,785.000
20201214,785.000,795.000,775.000,780.000,23251400,780.000
20201215,785.000,790.000,770.000,770.000,22208600,770.000
20201216,770.000,785.000,770.000,775.000,27871300,775.000
20201217,775.000,785.000,770.000,775.000,13516200,775.000
20201218,775.000,785.000,775.000,780.000,19896100,780.000
20201221,780.000,790.000,775.000,790.000,24240200,790.000
20201222,790.000,830.000,790.000,805.000,127012100,805.000
20201223,800.000,820.000,775.000,810.000,54690300,810.000
20201228,825.000,835.000,800.000,815.000,34617300,815.000
20201229,830.000,830.000,800.000,805.000,31712000,805.000
20201230,805.000,810.000,785.000,805.000,26784000,805.000
20210104,805.000,815.000,795.000,795.000,19838800,795.000
20210105,800.000,815.000,790.000,810.000,31677600,810.000
20210106,810.000,815.000,790.000,800.000,30788600,800.000
20210107,800.000,800.000,790.000,795.000,13229600,795.000
20210108,795.000,800.000,785.000,785.000,16157300,785.000
20210111,790.000,795.000,775.000,775.000,43020000,775.000
20210112,775.000,785.000,770.000,775.000,31945500,775.000
20210113,775.000,780.000,770.000,775.000,23972500,775.000
20210114,780.000,780.000,760.000,765.000,37162400,765.000
20210115,765.000,775.000,740.000,745.000,43844500,745.000
20210118,745.000,750.000,715.000,730.000,65891500,730.000
20210119,730.000,780.000,725.000,765.000,82271200,765.000
20210120,770.000,775.000,735.000,750.000,29548600,750.000
20210121,750.000,760.000,740.000,740.000,14157500,740.000
